epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.242218,0.569600,1.720850,0.345500,1.333667,0.522500,0.344800,69.83
10,1.079827,0.640200,1.626569,0.381400,1.173701,0.589200,0.380500,69.40
15,1.000435,0.668300,1.544271,0.416800,1.093079,0.621500,0.416800,69.35
20,0.917503,0.697100,1.543111,0.413100,1.023501,0.645400,0.412800,69.34
25,0.905433,0.718000,1.511396,0.425600,1.012070,0.661700,0.425600,69.33
30,0.905222,0.690600,1.519873,0.430900,1.006709,0.638900,0.430900,69.31
35,0.857446,0.737400,1.473492,0.445200,0.959101,0.682800,0.444900,69.32
40,0.850964,0.715900,1.468468,0.449200,0.951465,0.666500,0.449000,69.30
45,0.825793,0.747100,1.466791,0.438900,0.928700,0.690600,0.438900,69.31
50,0.833679,0.737100,1.514049,0.423500,0.942619,0.678600,0.423400,69.32
55,0.808990,0.749000,1.477202,0.435600,0.914723,0.693200,0.435600,69.30
60,0.812409,0.749300,1.444190,0.457800,0.914146,0.694800,0.457700,69.29
65,0.852897,0.725000,1.487736,0.440000,0.956203,0.676500,0.439800,69.30
70,0.817754,0.751800,1.451150,0.448700,0.918321,0.695500,0.448200,69.30
75,0.782393,0.760900,1.441197,0.454100,0.885662,0.708100,0.454000,69.29
80,0.781516,0.749000,1.443119,0.454600,0.881331,0.701600,0.454500,69.31
85,0.795394,0.748200,1.490790,0.436800,0.906100,0.691300,0.436600,69.30
90,0.803750,0.746300,1.441210,0.458200,0.907301,0.692300,0.458100,69.32
95,0.804974,0.750700,1.461506,0.446800,0.911374,0.697100,0.446800,69.31
100,0.793269,0.740500,1.471363,0.447700,0.903076,0.685000,0.447600,69.30
105,0.564543,0.829700,1.288526,0.514100,0.669994,0.776600,0.514000,69.30
110,0.545057,0.832100,1.342925,0.502000,0.657876,0.779500,0.502000,69.30
115,0.526011,0.839000,1.408893,0.493400,0.647344,0.782300,0.493400,69.30
120,0.518333,0.841700,1.469977,0.483700,0.644720,0.785400,0.483700,69.32
125,0.519583,0.839400,1.512463,0.482600,0.651025,0.785000,0.482600,69.31
130,0.520243,0.835700,1.630429,0.473700,0.665888,0.774700,0.473600,69.31
135,0.510286,0.836200,1.659855,0.465600,0.657180,0.778500,0.465600,69.30
140,0.524066,0.832200,1.681462,0.468300,0.676584,0.774300,0.468300,69.29
145,0.510651,0.834300,1.740257,0.467700,0.671039,0.774500,0.467700,69.29
150,0.518772,0.836200,1.760386,0.462000,0.681377,0.774500,0.462000,69.29
155,0.469696,0.849400,1.971012,0.471800,0.660317,0.785800,0.471800,69.28
160,0.474891,0.850500,2.163292,0.458600,0.687217,0.783500,0.458600,69.31
165,0.489179,0.846000,2.377732,0.452500,0.725857,0.780700,0.452500,69.32
170,0.500813,0.843600,2.485222,0.444000,0.748819,0.778600,0.444000,69.31
175,0.510332,0.846100,2.592187,0.444200,0.769678,0.777900,0.444200,69.33
180,0.526476,0.842000,2.694204,0.443700,0.798861,0.773000,0.443700,69.33
185,0.533967,0.846300,2.907255,0.435400,0.829972,0.773200,0.435400,69.33
190,0.529878,0.847100,2.965440,0.432200,0.830169,0.772400,0.432200,69.33
195,0.534061,0.847100,3.098323,0.429100,0.844948,0.773600,0.429100,69.33
200,0.563821,0.843500,3.151213,0.428900,0.889827,0.768300,0.428900,69.33
