epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.233841,0.587700,1.697615,0.355600,1.319440,0.539600,0.355200,70.33
10,1.075265,0.657100,1.613079,0.392100,1.169054,0.607700,0.391700,69.96
15,0.974688,0.699300,1.545140,0.410800,1.066850,0.644800,0.410700,69.93
20,0.616254,0.787900,21.866703,0.000000,0.720980,0.753200,0.000000,70.00
25,0.532110,0.809700,22.644108,0.000000,0.634851,0.774200,0.000000,70.00
30,0.932174,0.710400,1.549017,0.412800,1.029360,0.659300,0.412600,69.86
35,0.504472,0.827900,23.230055,0.000000,0.587589,0.799000,0.000000,69.86
40,0.989939,0.689300,1.562940,0.412500,1.089075,0.638000,0.412500,69.78
45,1.006696,0.674500,1.621183,0.387800,1.111710,0.620600,0.387700,69.76
50,0.891619,0.733600,1.524859,0.424200,0.996079,0.676500,0.424100,69.75
55,0.990962,0.706300,1.574648,0.405900,1.090690,0.651400,0.405300,69.75
60,0.957114,0.710200,1.570480,0.401400,1.060208,0.653500,0.401000,69.66
65,0.539615,0.818900,21.512702,0.000000,0.662193,0.777700,0.000000,69.74
70,0.933516,0.706000,1.544261,0.421300,1.034587,0.653400,0.421300,69.64
75,0.916907,0.723700,1.590638,0.401700,1.022214,0.669000,0.401700,69.58
80,0.553843,0.814200,21.199553,0.000000,0.667528,0.778000,0.000000,69.57
85,0.917042,0.717900,1.537779,0.419400,1.020533,0.661400,0.419400,69.50
90,0.957994,0.718700,1.559254,0.405100,1.057604,0.661600,0.404900,69.40
95,0.888798,0.732200,1.525472,0.419300,0.991932,0.678700,0.419200,69.39
100,0.595712,0.796600,19.322454,0.000100,0.716416,0.758000,0.000100,69.39
105,0.789632,0.773200,1.462342,0.439400,0.894837,0.713900,0.439300,69.31
110,0.250236,0.913800,12.579165,0.003600,0.334172,0.883800,0.003600,69.38
115,0.739016,0.785600,1.452101,0.436400,0.847002,0.726900,0.436300,69.36
120,0.266989,0.910800,11.035225,0.006500,0.360575,0.876400,0.006500,69.43
125,0.710258,0.791900,1.437652,0.447000,0.820145,0.734600,0.446800,69.37
130,0.691214,0.800900,1.428485,0.453800,0.799327,0.739600,0.453800,69.37
135,0.646429,0.806200,1.439324,0.453200,0.759635,0.750000,0.453200,69.36
140,0.281569,0.903000,11.982548,0.009800,0.393969,0.867700,0.009800,69.40
145,0.301493,0.899600,14.847934,0.002000,0.413765,0.864500,0.002000,69.39
150,0.636648,0.809600,1.480296,0.443800,0.754069,0.751200,0.443800,69.34
155,0.582149,0.827700,1.455365,0.457700,0.702282,0.768800,0.457700,69.36
160,0.576505,0.835700,1.462446,0.461600,0.698942,0.771800,0.461600,69.36
165,0.572002,0.833000,1.477516,0.460200,0.695169,0.770100,0.460200,69.36
170,0.261458,0.913100,5.987500,0.177900,0.403778,0.865400,0.177900,69.39
175,0.535253,0.844000,1.567436,0.442900,0.669354,0.778200,0.442900,69.38
180,0.247850,0.922800,11.611181,0.084900,0.387256,0.880000,0.084900,69.40
185,0.269531,0.912700,7.405239,0.164800,0.433653,0.864600,0.164800,69.39
190,0.539385,0.836200,1.600605,0.443000,0.675764,0.774100,0.443000,69.35
195,0.281179,0.911400,6.679468,0.193900,0.460512,0.857300,0.193900,69.39
200,0.530485,0.842100,1.654067,0.437100,0.671975,0.776400,0.437000,69.36
