epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.270518,0.579300,1.720347,0.339800,1.356002,0.530300,0.338600,70.06
10,1.067217,0.649200,1.597245,0.397800,1.162325,0.599600,0.397500,69.58
15,0.956674,0.692200,1.536287,0.419000,1.052356,0.644000,0.418900,69.54
20,0.909750,0.706400,1.502262,0.432100,1.006793,0.653900,0.432000,69.52
25,0.904091,0.707800,1.509864,0.434500,1.006662,0.651900,0.434400,69.52
30,0.872197,0.726300,1.460814,0.449500,0.969352,0.675200,0.449400,69.50
35,0.829791,0.736600,1.491320,0.433200,0.932809,0.686300,0.433100,69.50
40,0.862166,0.726100,1.444772,0.450900,0.957954,0.677700,0.450600,69.45
45,0.865063,0.731400,1.554808,0.419000,0.974007,0.675400,0.418800,69.49
50,0.859980,0.719000,1.501425,0.439600,0.965017,0.668300,0.439400,69.48
55,0.819967,0.754100,1.456011,0.452900,0.920621,0.700400,0.452900,69.46
60,0.777314,0.767900,1.481367,0.444200,0.885646,0.711100,0.444200,69.46
65,0.806899,0.757800,1.455256,0.443400,0.909943,0.699300,0.443300,69.45
70,0.831873,0.739700,1.470351,0.447500,0.939126,0.682700,0.447500,69.46
75,0.802406,0.754400,1.459594,0.442800,0.907277,0.697100,0.442700,69.47
80,0.823131,0.741200,1.519144,0.424000,0.932265,0.685600,0.424000,69.45
85,0.817292,0.748400,1.476794,0.434000,0.922161,0.690400,0.434000,69.46
90,0.804555,0.753200,1.455755,0.448200,0.908800,0.699400,0.448200,69.46
95,0.805858,0.751000,1.445689,0.450900,0.907368,0.697400,0.450900,69.44
100,0.780467,0.763300,1.455603,0.445200,0.885695,0.707900,0.445200,69.44
105,0.565285,0.832200,1.286672,0.514500,0.670841,0.779500,0.514500,69.44
110,0.534195,0.839200,1.346797,0.501200,0.648181,0.785800,0.501000,69.46
115,0.532096,0.843000,1.405072,0.498500,0.651263,0.785600,0.498500,69.44
120,0.522782,0.841300,1.482557,0.493700,0.651534,0.782400,0.493700,69.47
125,0.526202,0.833500,1.527074,0.478000,0.664896,0.775500,0.478000,69.44
130,0.534484,0.834500,1.565980,0.485700,0.674456,0.771700,0.485700,69.43
135,0.515949,0.834900,1.664659,0.463500,0.664349,0.778900,0.463500,69.44
140,0.524428,0.836900,1.680878,0.470100,0.677056,0.774200,0.470100,69.43
145,0.519214,0.837000,1.763829,0.458000,0.679308,0.774700,0.457900,69.45
150,0.519111,0.831700,1.762683,0.461600,0.681824,0.766800,0.461600,69.42
155,0.464525,0.851200,2.011238,0.467600,0.660306,0.783100,0.467600,69.45
160,0.475710,0.851400,2.183644,0.456900,0.692232,0.777900,0.456900,69.45
165,0.485283,0.846800,2.308317,0.452500,0.716501,0.776600,0.452500,69.47
170,0.498351,0.849000,2.529240,0.449000,0.753808,0.772700,0.449000,69.46
175,0.509065,0.844500,2.628442,0.445300,0.778240,0.770400,0.445300,69.47
180,0.512005,0.849100,2.785997,0.438300,0.792639,0.771100,0.438300,69.47
185,0.532582,0.845200,2.866052,0.435100,0.827900,0.767400,0.435100,69.49
190,0.540771,0.844600,3.081037,0.431800,0.859702,0.767900,0.431800,69.48
195,0.546041,0.842600,3.109151,0.429400,0.868312,0.764100,0.429400,69.47
200,0.553881,0.844300,3.185613,0.425600,0.885689,0.764000,0.425600,69.47
