epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,0.650102,0.781000,20.765933,0.000000,0.741332,0.749500,0.000000,70.00
10,0.480130,0.832500,21.604822,0.000000,0.553658,0.807300,0.000000,69.56
15,0.518474,0.824000,22.252625,0.000000,0.602868,0.794600,0.000000,69.56
20,0.507642,0.821300,22.868987,0.000000,0.592115,0.789600,0.000000,69.56
25,0.505890,0.829600,26.168152,0.000000,0.594920,0.804100,0.000000,69.55
30,0.461182,0.843700,28.014888,0.000000,0.555000,0.815000,0.000000,69.54
35,0.463979,0.842900,23.983249,0.000000,0.539428,0.817400,0.000000,69.54
40,0.400001,0.862300,25.985984,0.000000,0.474214,0.836400,0.000000,69.53
45,0.540284,0.819500,27.697998,0.000000,0.637890,0.788500,0.000000,69.54
50,0.440551,0.856600,26.049726,0.000000,0.528503,0.828000,0.000000,69.55
55,0.411310,0.865900,25.616046,0.000000,0.489040,0.839100,0.000000,69.53
60,0.380445,0.874400,26.983816,0.000000,0.463793,0.846400,0.000000,69.52
65,0.428153,0.852300,33.171685,0.000000,0.521111,0.823500,0.000000,69.52
70,0.438830,0.854600,26.560565,0.000000,0.519369,0.829400,0.000000,69.52
75,0.405543,0.865700,30.501665,0.000000,0.488332,0.838800,0.000000,69.50
80,0.374846,0.871600,23.730687,0.000000,0.449318,0.847000,0.000000,69.52
85,0.385104,0.868200,26.247549,0.000000,0.467276,0.840700,0.000000,69.53
90,0.427932,0.857600,33.240868,0.000000,0.514720,0.830200,0.000000,69.53
95,0.412918,0.867300,32.491900,0.000000,0.500247,0.837600,0.000000,69.53
100,0.404991,0.866400,24.320706,0.000000,0.487741,0.840100,0.000000,69.53
105,0.209882,0.931700,27.704431,0.000000,0.269599,0.914700,0.000000,69.52
110,0.230929,0.932900,25.744711,0.000000,0.299029,0.915500,0.000000,69.53
115,0.251328,0.927500,24.498664,0.000000,0.325496,0.912800,0.000000,69.52
120,0.259684,0.929700,23.671514,0.000000,0.340243,0.907700,0.000000,69.52
125,0.270535,0.926200,23.168197,0.000000,0.351651,0.907500,0.000000,69.51
130,0.270209,0.926200,23.257995,0.000000,0.348543,0.906700,0.000000,69.51
135,0.277695,0.926800,22.230360,0.000000,0.365065,0.905900,0.000000,69.52
140,0.275387,0.924800,21.885562,0.000000,0.354036,0.905100,0.000000,69.52
145,0.275814,0.925400,26.478302,0.000000,0.357188,0.905300,0.000000,69.51
150,0.300152,0.917600,21.646013,0.000000,0.390500,0.896500,0.000000,69.52
155,0.234695,0.940300,21.306731,0.000000,0.304715,0.924800,0.000000,69.52
160,0.243040,0.940800,21.360592,0.000000,0.316080,0.925500,0.000000,69.53
165,0.239962,0.942500,21.352151,0.000000,0.311932,0.925600,0.000000,69.52
170,0.239429,0.941900,20.773982,0.000000,0.313002,0.927200,0.000000,69.51
175,0.235980,0.944200,20.311593,0.000000,0.308213,0.927600,0.000000,69.52
180,0.237519,0.943300,20.293410,0.000000,0.311043,0.927100,0.000000,69.52
185,0.243638,0.943500,20.334209,0.000000,0.318692,0.927000,0.000000,69.51
190,0.239817,0.943900,19.748930,0.000000,0.313099,0.928200,0.000000,69.51
195,0.237274,0.944900,19.722809,0.000000,0.311432,0.929300,0.000000,69.51
200,0.241102,0.945000,19.227699,0.000000,0.315520,0.929400,0.000000,69.50
