epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,0.704564,0.762300,15.401890,0.000000,0.792294,0.730100,0.000000,69.85
10,0.601622,0.794100,19.713133,0.000000,0.680075,0.766000,0.000000,69.53
15,1.070962,0.669300,1.615185,0.384800,1.163375,0.617000,0.384100,69.46
20,0.996696,0.665700,1.571847,0.409400,1.096400,0.613500,0.409300,69.44
25,0.541376,0.818500,21.113018,0.000000,0.632335,0.783700,0.000000,69.45
30,0.977774,0.687500,1.537877,0.421800,1.072370,0.639100,0.421700,69.34
35,0.557404,0.811900,21.526778,0.000000,0.672306,0.773000,0.000000,69.37
40,0.589821,0.795000,19.212995,0.000000,0.706695,0.756700,0.000000,69.36
45,0.953562,0.688600,1.576762,0.401200,1.053970,0.638900,0.401200,69.26
50,0.463336,0.837200,21.985147,0.000000,0.562553,0.802300,0.000000,69.34
55,0.514018,0.827100,20.824686,0.000000,0.614504,0.791000,0.000000,69.30
60,0.425826,0.855800,19.787448,0.000000,0.516621,0.820100,0.000000,69.26
65,0.914330,0.741900,1.536051,0.417000,1.014143,0.682500,0.417000,69.20
70,0.990654,0.693700,1.577152,0.404900,1.091602,0.640700,0.404600,69.16
75,0.908309,0.729500,1.523163,0.421100,1.012461,0.669300,0.421100,69.11
80,0.491929,0.829900,20.753873,0.000000,0.603083,0.790000,0.000000,69.12
85,0.946150,0.712400,1.547409,0.407200,1.046945,0.658300,0.407000,69.07
90,0.493358,0.830500,19.088012,0.000000,0.603360,0.790000,0.000000,69.08
95,0.465684,0.844800,24.577769,0.000000,0.552327,0.814700,0.000000,69.04
100,0.872363,0.734700,1.550336,0.410600,0.980416,0.680100,0.410500,69.02
105,0.695722,0.802900,1.380046,0.473600,0.798230,0.748200,0.473600,69.01
110,0.658548,0.815500,1.381655,0.466600,0.764664,0.758000,0.466500,69.04
115,0.651160,0.814000,1.368077,0.477900,0.756479,0.758600,0.477900,69.04
120,0.644784,0.817100,1.391364,0.474000,0.752651,0.760100,0.474000,69.05
125,0.632354,0.816900,1.405784,0.468300,0.744413,0.763000,0.468300,69.02
130,0.626844,0.813900,1.421643,0.463700,0.737582,0.760300,0.463700,69.02
135,0.613043,0.820400,1.413413,0.468800,0.724950,0.761800,0.468800,69.03
140,0.285086,0.905600,13.784530,0.003000,0.398140,0.868700,0.003000,69.06
145,0.602182,0.822400,1.455898,0.467100,0.721810,0.763300,0.467100,69.03
150,0.273868,0.908500,13.587673,0.003300,0.386342,0.870400,0.003300,69.08
155,0.246639,0.918000,4.781418,0.169200,0.373805,0.873300,0.169200,69.05
160,0.528667,0.843000,1.566073,0.449800,0.660058,0.783000,0.449800,69.04
165,0.223175,0.928300,9.209062,0.078600,0.347843,0.891700,0.078600,69.06
170,0.519139,0.846400,1.622936,0.440300,0.653024,0.783700,0.440300,69.04
175,0.518639,0.842700,1.599186,0.458600,0.653725,0.783300,0.458600,69.01
180,0.256869,0.913300,4.959742,0.207200,0.408435,0.862600,0.207200,69.06
185,0.244623,0.924200,8.784134,0.104400,0.391084,0.883000,0.104400,69.06
190,0.252289,0.923500,8.618853,0.116200,0.411970,0.878700,0.116200,69.07
195,0.260445,0.917300,6.909221,0.159000,0.424951,0.872900,0.159000,69.05
200,0.260683,0.917800,7.008388,0.159300,0.431314,0.871900,0.159300,69.06
