epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,0.739838,0.749700,17.681925,0.000000,0.827904,0.719600,0.000000,70.14
10,0.512763,0.826200,22.755126,0.000000,0.591759,0.799200,0.000000,69.74
15,0.524737,0.821900,22.618153,0.000000,0.602498,0.794700,0.000000,69.72
20,0.634474,0.789800,25.230719,0.000000,0.730198,0.762000,0.000000,69.71
25,0.453857,0.847400,24.597565,0.000000,0.534681,0.820400,0.000000,69.69
30,0.448230,0.849700,24.152459,0.000000,0.530575,0.820200,0.000000,69.68
35,0.479611,0.839300,24.481889,0.000000,0.566240,0.811000,0.000000,69.69
40,0.468655,0.836600,24.284416,0.000000,0.558754,0.804600,0.000000,69.69
45,0.473802,0.840600,27.716273,0.000000,0.560142,0.814900,0.000000,69.68
50,0.478817,0.835800,25.413648,0.000000,0.566516,0.806300,0.000000,69.68
55,0.415567,0.861400,27.084851,0.000000,0.501631,0.835300,0.000000,69.68
60,0.407917,0.861400,25.009962,0.000000,0.493103,0.834400,0.000000,69.69
65,0.461590,0.847200,26.172866,0.000000,0.550887,0.822600,0.000000,69.68
70,0.421390,0.863600,26.739707,0.000000,0.510559,0.833100,0.000000,69.69
75,0.371499,0.874200,29.183184,0.000000,0.446536,0.846300,0.000000,69.69
80,0.494658,0.838600,30.046055,0.000000,0.596017,0.807700,0.000000,69.68
85,0.387084,0.868800,29.020817,0.000000,0.463667,0.842900,0.000000,69.69
90,0.424333,0.857200,27.455709,0.000000,0.498255,0.833500,0.000000,69.67
95,0.390528,0.864800,28.433057,0.000000,0.470520,0.835700,0.000000,69.67
100,0.370747,0.873100,28.710812,0.000000,0.456995,0.845100,0.000000,69.68
105,0.211097,0.932200,29.352370,0.000000,0.265728,0.917000,0.000000,69.68
110,0.221345,0.933900,25.269089,0.000000,0.286458,0.917000,0.000000,69.68
115,0.243364,0.932200,24.321908,0.000000,0.315534,0.913500,0.000000,69.68
120,0.255957,0.927200,23.011826,0.000000,0.330889,0.908800,0.000000,69.67
125,0.271341,0.925800,22.539015,0.000000,0.350645,0.909000,0.000000,69.66
130,0.257126,0.930800,22.850048,0.000000,0.330425,0.912000,0.000000,69.66
135,0.266593,0.927800,21.551352,0.000000,0.341930,0.909300,0.000000,69.66
140,0.286211,0.922700,21.448988,0.000000,0.366978,0.905600,0.000000,69.66
145,0.293840,0.922000,25.352208,0.000000,0.376445,0.901300,0.000000,69.67
150,0.291246,0.919800,22.123984,0.000000,0.376430,0.898000,0.000000,69.66
155,0.231322,0.939700,21.635610,0.000000,0.301256,0.923500,0.000000,69.66
160,0.231251,0.942500,21.539454,0.000000,0.300900,0.927400,0.000000,69.67
165,0.239063,0.942400,21.295769,0.000000,0.310437,0.927200,0.000000,69.66
170,0.236327,0.943600,20.929362,0.000000,0.307669,0.928800,0.000000,69.67
175,0.237964,0.942800,20.927951,0.000000,0.309297,0.928900,0.000000,69.68
180,0.239164,0.943300,20.411271,0.000000,0.312907,0.928500,0.000000,69.65
185,0.242601,0.941400,20.405125,0.000000,0.317128,0.927300,0.000000,69.64
190,0.240340,0.943400,20.040168,0.000000,0.312498,0.928900,0.000000,69.66
195,0.238231,0.943900,19.171614,0.000000,0.310811,0.928400,0.000000,69.65
200,0.239627,0.944700,19.371369,0.000000,0.312221,0.929900,0.000000,69.68
