epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.270539,0.586000,1.706018,0.352600,1.351972,0.539100,0.351800,70.04
10,1.083658,0.636200,1.626910,0.383600,1.179265,0.589000,0.383100,69.67
15,1.061581,0.666600,1.616510,0.386400,1.162890,0.611500,0.386100,69.62
20,0.493437,0.831900,20.087675,0.000000,0.585051,0.797200,0.000000,69.65
25,0.510111,0.827900,19.477993,0.000100,0.606118,0.797200,0.000100,69.62
30,1.012834,0.687300,1.618693,0.381900,1.112690,0.636800,0.381900,69.52
35,0.494974,0.829000,21.207574,0.000100,0.600039,0.791500,0.000100,69.54
40,0.477589,0.839100,22.710235,0.000000,0.573568,0.809000,0.000000,69.50
45,0.973692,0.705600,1.562683,0.404100,1.075760,0.649400,0.403700,69.38
50,0.619652,0.794200,21.828019,0.000000,0.747858,0.752400,0.000000,69.44
55,0.959510,0.720600,1.562996,0.416800,1.059866,0.662600,0.416800,69.36
60,0.587552,0.796600,19.810830,0.000000,0.699354,0.756300,0.000000,69.36
65,0.921914,0.707200,1.539998,0.415500,1.024158,0.653400,0.415500,69.32
70,0.474736,0.836600,20.018942,0.000000,0.573807,0.801200,0.000000,69.29
75,0.433326,0.855300,20.735120,0.000000,0.525516,0.820900,0.000000,69.25
80,0.448311,0.843400,21.720939,0.000100,0.549983,0.806500,0.000100,69.23
85,0.910496,0.732100,1.572201,0.403100,1.017844,0.672000,0.402700,69.17
90,0.499806,0.825400,22.091923,0.000000,0.621976,0.785600,0.000000,69.22
95,0.571790,0.807300,18.945430,0.000000,0.706651,0.759700,0.000000,69.18
100,1.024243,0.669600,1.631570,0.374600,1.125398,0.611600,0.374400,69.14
105,0.254051,0.912600,14.684587,0.000200,0.333567,0.882200,0.000200,69.20
110,0.247213,0.916700,12.960763,0.000900,0.329262,0.885100,0.000900,69.19
115,0.731193,0.786300,1.439399,0.450000,0.837199,0.732100,0.450000,69.14
120,0.731303,0.793900,1.422354,0.446500,0.837116,0.735900,0.446500,69.15
125,0.694583,0.803000,1.417556,0.455300,0.803782,0.745500,0.455200,69.16
130,0.659518,0.808200,1.426368,0.455800,0.769412,0.748200,0.455800,69.14
135,0.274425,0.908000,13.210170,0.003100,0.367587,0.877400,0.003100,69.19
140,0.655351,0.806300,1.459579,0.448500,0.768966,0.744700,0.448500,69.14
145,0.295167,0.904900,15.409142,0.002000,0.405029,0.869100,0.002000,69.18
150,0.287802,0.908600,18.667251,0.002200,0.403908,0.873600,0.002200,69.19
155,0.227562,0.928400,13.067665,0.035200,0.331931,0.898400,0.035200,69.19
160,0.621976,0.820600,1.496253,0.429200,0.741416,0.762500,0.429200,69.15
165,0.246370,0.920200,7.688826,0.120500,0.385012,0.873700,0.120500,69.18
170,0.597316,0.825900,1.470210,0.450300,0.716148,0.768100,0.450300,69.16
175,0.239336,0.924100,10.595095,0.083300,0.368682,0.887600,0.083300,69.20
180,0.581678,0.830500,1.498616,0.443200,0.702818,0.771500,0.443200,69.16
185,0.255123,0.926500,12.671254,0.061000,0.395367,0.889900,0.061000,69.20
190,0.563102,0.834100,1.551543,0.427700,0.691103,0.771600,0.427700,69.16
195,0.271073,0.916800,8.065426,0.140100,0.440282,0.868800,0.140100,69.19
200,0.277656,0.916900,7.845979,0.164800,0.463117,0.865100,0.164800,69.20
