epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.223721,0.591200,1.673523,0.367200,1.307034,0.542500,0.365900,70.24
10,1.037423,0.671700,1.594498,0.401300,1.129227,0.618700,0.400900,69.79
15,0.949539,0.710200,1.522280,0.419500,1.042672,0.657200,0.419500,69.76
20,0.945398,0.680600,1.500741,0.434300,1.044192,0.633900,0.434300,69.73
25,0.884373,0.722500,1.483047,0.434200,0.983588,0.671300,0.434200,69.73
30,0.834739,0.734400,1.496191,0.433300,0.935155,0.684500,0.433200,69.72
35,0.888142,0.719300,1.464753,0.445700,0.988222,0.666700,0.445700,69.71
40,0.865006,0.720500,1.486882,0.443000,0.964698,0.672200,0.443000,69.73
45,0.890669,0.712500,1.524724,0.429900,0.996071,0.658100,0.429900,69.71
50,0.821296,0.743800,1.474531,0.437300,0.928719,0.688600,0.437300,69.71
55,0.810790,0.752700,1.476242,0.442700,0.916588,0.695400,0.442400,69.71
60,0.796251,0.758900,1.444566,0.449300,0.900378,0.704000,0.449300,69.69
65,0.841529,0.732300,1.475297,0.429300,0.942300,0.679600,0.429300,69.69
70,0.833333,0.729800,1.470476,0.450600,0.935630,0.676900,0.450500,69.70
75,0.805601,0.752800,1.478677,0.442000,0.908117,0.697600,0.441900,69.69
80,0.790270,0.753700,1.455973,0.451000,0.893116,0.702800,0.450600,69.68
85,0.801278,0.750500,1.430052,0.464700,0.904432,0.697300,0.464600,69.68
90,0.770230,0.771700,1.433657,0.455700,0.872690,0.717200,0.455600,69.69
95,0.770860,0.771900,1.470386,0.445500,0.878637,0.714500,0.445500,69.69
100,0.822166,0.746100,1.464035,0.449900,0.922126,0.692100,0.449800,69.69
105,0.556620,0.835100,1.289564,0.513000,0.664003,0.779300,0.513000,69.69
110,0.541854,0.836500,1.350686,0.504800,0.656808,0.779900,0.504800,69.69
115,0.523360,0.838800,1.433312,0.496300,0.648497,0.782600,0.496300,69.69
120,0.527976,0.838300,1.494493,0.484000,0.656106,0.780500,0.484000,69.69
125,0.528579,0.831600,1.554445,0.476700,0.668332,0.771500,0.476700,69.69
130,0.517126,0.838200,1.542945,0.476100,0.652973,0.775200,0.476100,69.69
135,0.522691,0.834100,1.644205,0.470100,0.669516,0.772500,0.470100,69.68
140,0.510094,0.838100,1.735694,0.461800,0.668524,0.772900,0.461800,69.69
145,0.521447,0.832600,1.794765,0.461900,0.687591,0.765600,0.461900,69.68
150,0.524230,0.833000,1.857889,0.454900,0.696681,0.768100,0.454900,69.69
155,0.467303,0.853100,1.978741,0.465300,0.659469,0.784100,0.465300,69.68
160,0.473528,0.849200,2.177703,0.458100,0.688132,0.782000,0.458100,69.69
165,0.479720,0.850100,2.277879,0.453500,0.702038,0.779600,0.453500,69.69
170,0.487026,0.850100,2.458722,0.449500,0.730253,0.777500,0.449500,69.70
175,0.503686,0.848500,2.604351,0.444700,0.763555,0.772000,0.444700,69.69
180,0.507332,0.847200,2.719314,0.441100,0.782448,0.769300,0.441100,69.71
185,0.514297,0.847400,2.901046,0.437900,0.805810,0.769400,0.437900,69.71
190,0.523381,0.844200,2.940886,0.437400,0.819698,0.771100,0.437400,69.71
195,0.530817,0.846800,3.105084,0.432600,0.846760,0.769600,0.432600,69.71
200,0.549187,0.844800,3.219408,0.425700,0.880390,0.765900,0.425700,69.70
