epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,0.692314,0.763400,18.346104,0.000000,0.780768,0.733700,0.000000,69.95
10,0.545840,0.812900,19.073377,0.000000,0.626091,0.783200,0.000000,69.63
15,0.514987,0.829200,23.803885,0.000000,0.600053,0.802000,0.000000,69.63
20,0.428945,0.855100,23.556907,0.000000,0.503151,0.830500,0.000000,69.64
25,0.453387,0.850100,23.561155,0.000000,0.527450,0.825700,0.000000,69.64
30,0.417367,0.860300,26.586363,0.000000,0.501820,0.830900,0.000000,69.65
35,0.405296,0.864300,25.437265,0.000000,0.481610,0.838500,0.000000,69.64
40,0.445662,0.854100,24.916207,0.000000,0.535604,0.823500,0.000000,69.67
45,0.432463,0.853500,30.691874,0.000000,0.513033,0.824600,0.000000,69.66
50,0.452370,0.847400,29.294870,0.000000,0.556556,0.814800,0.000000,69.65
55,0.537702,0.823200,26.428546,0.000000,0.639718,0.795000,0.000000,69.64
60,0.409918,0.865100,28.699789,0.000000,0.494168,0.834300,0.000000,69.65
65,0.436852,0.847300,29.257835,0.000000,0.520487,0.822200,0.000000,69.64
70,0.386142,0.867000,27.560240,0.000000,0.474380,0.836800,0.000000,69.64
75,0.519180,0.827800,29.259026,0.000000,0.620464,0.799400,0.000000,69.63
80,0.379457,0.872600,29.516086,0.000000,0.455998,0.848700,0.000000,69.63
85,0.373900,0.874300,32.064063,0.000000,0.453074,0.848600,0.000000,69.65
90,0.417789,0.860100,31.559370,0.000000,0.506049,0.828500,0.000000,69.63
95,0.372353,0.873700,27.437104,0.000000,0.448578,0.848100,0.000000,69.64
100,0.350242,0.883800,28.242430,0.000000,0.418726,0.860800,0.000000,69.64
105,0.210269,0.932700,29.082500,0.000000,0.265960,0.915300,0.000000,69.64
110,0.222798,0.934100,26.066052,0.000000,0.287769,0.917200,0.000000,69.65
115,0.236689,0.934700,24.178796,0.000000,0.305601,0.917000,0.000000,69.65
120,0.255318,0.930300,22.473050,0.000000,0.331759,0.910200,0.000000,69.65
125,0.266147,0.927100,22.532342,0.000000,0.348566,0.907700,0.000000,69.64
130,0.269313,0.925300,21.825345,0.000000,0.349547,0.904200,0.000000,69.63
135,0.280860,0.922900,21.443925,0.000000,0.365788,0.900200,0.000000,69.63
140,0.276970,0.923800,21.594193,0.000000,0.352796,0.906900,0.000000,69.63
145,0.273793,0.923100,20.131627,0.000000,0.353073,0.904300,0.000000,69.63
150,0.283056,0.920900,20.119789,0.000000,0.363308,0.902800,0.000000,69.64
155,0.233664,0.942000,20.287987,0.000000,0.304960,0.923900,0.000000,69.62
160,0.235891,0.941700,19.867763,0.000000,0.308039,0.925300,0.000000,69.64
165,0.237549,0.942500,19.570596,0.000000,0.307542,0.927300,0.000000,69.64
170,0.241945,0.941900,19.701430,0.000000,0.316190,0.925400,0.000000,69.64
175,0.241564,0.941100,19.178958,0.000000,0.314819,0.925700,0.000000,69.65
180,0.239276,0.941800,19.053400,0.000000,0.312975,0.926200,0.000000,69.64
185,0.239908,0.942900,18.865876,0.000000,0.313121,0.927200,0.000000,69.64
190,0.239996,0.943300,18.674415,0.000000,0.314370,0.927700,0.000000,69.64
195,0.242624,0.941700,18.071568,0.000000,0.315809,0.927900,0.000000,69.63
200,0.240455,0.943400,18.122559,0.000000,0.314971,0.927000,0.000000,69.63
