epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.297659,0.573000,1.751811,0.330700,1.379103,0.522800,0.329900,69.89
10,1.087449,0.643300,1.646300,0.367400,1.186350,0.591200,0.367000,69.55
15,0.585516,0.797800,20.314928,0.000000,0.667075,0.768600,0.000000,69.63
20,0.607571,0.798000,21.432177,0.000000,0.702793,0.765200,0.000000,69.63
25,0.549365,0.815400,18.383429,0.000000,0.652641,0.777500,0.000000,69.60
30,0.506915,0.829400,19.793412,0.000000,0.591468,0.795500,0.000000,69.54
35,1.007199,0.714000,1.597417,0.385300,1.108354,0.653400,0.385300,69.44
40,0.947538,0.726000,1.559874,0.401700,1.047472,0.666200,0.401300,69.39
45,0.537328,0.815900,23.218188,0.000000,0.646413,0.783500,0.000000,69.45
50,0.590153,0.797500,20.242378,0.000000,0.697405,0.761100,0.000000,69.43
55,0.953650,0.700100,1.589122,0.393800,1.058668,0.646400,0.393800,69.37
60,0.450405,0.847100,19.416607,0.000000,0.539273,0.814000,0.000000,69.42
65,0.451587,0.841000,20.112625,0.000000,0.544452,0.807300,0.000000,69.33
70,0.973676,0.704600,1.581254,0.400600,1.074570,0.646900,0.400600,69.22
75,0.911976,0.724400,1.565307,0.418000,1.014398,0.672200,0.417700,69.16
80,0.935381,0.724800,1.536568,0.425300,1.035046,0.669200,0.425300,69.16
85,0.900255,0.720800,1.564980,0.411300,1.007372,0.665700,0.411300,69.16
90,0.551196,0.816100,19.713509,0.000000,0.660745,0.779600,0.000000,69.15
95,0.499963,0.824800,22.146042,0.000000,0.598616,0.792200,0.000000,69.10
100,0.993219,0.684900,1.604555,0.391200,1.093882,0.636000,0.390700,69.06
105,0.794152,0.765300,1.459479,0.441200,0.899553,0.705500,0.441000,69.07
110,0.243358,0.917300,14.598957,0.000500,0.320859,0.889400,0.000500,69.09
115,0.246444,0.918500,13.248703,0.001200,0.332058,0.888500,0.001200,69.12
120,0.722850,0.783800,1.472986,0.434200,0.835821,0.720600,0.434200,69.09
125,0.277830,0.908700,13.976624,0.001100,0.378629,0.878900,0.001100,69.11
130,0.275912,0.907100,13.572366,0.002600,0.383682,0.874100,0.002600,69.13
135,0.695926,0.787200,1.479515,0.433200,0.806711,0.732200,0.433200,69.07
140,0.736374,0.782300,1.486368,0.432700,0.848434,0.723800,0.432700,69.04
145,0.290846,0.904900,13.556923,0.001700,0.395010,0.874800,0.001700,69.10
150,0.632763,0.815800,1.424962,0.456700,0.746205,0.754700,0.456700,69.06
155,0.579806,0.831400,1.420805,0.468300,0.696352,0.770000,0.468300,69.06
160,0.574418,0.835900,1.439244,0.460200,0.692284,0.776900,0.460200,69.08
165,0.224809,0.924000,8.502357,0.078400,0.343520,0.884100,0.078400,69.11
170,0.547768,0.840000,1.495002,0.455900,0.672072,0.779400,0.455900,69.07
175,0.544812,0.836600,1.517382,0.451800,0.672363,0.775200,0.451800,69.07
180,0.233681,0.921000,10.943899,0.063200,0.362871,0.885500,0.063200,69.11
185,0.246275,0.918400,7.274500,0.144400,0.405943,0.870400,0.144400,69.11
190,0.258968,0.917600,7.853597,0.137100,0.425558,0.868700,0.137100,69.12
195,0.248535,0.925600,11.113000,0.082000,0.400991,0.883100,0.082000,69.12
200,0.263119,0.926300,12.845072,0.059600,0.427304,0.883000,0.059600,69.13
