epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,0.673983,0.769500,17.669201,0.000000,0.765178,0.738400,0.000000,69.54
10,0.591755,0.799000,19.340188,0.000000,0.681513,0.766400,0.000000,69.08
15,0.451776,0.843100,22.888063,0.000000,0.525466,0.819000,0.000000,69.15
20,0.501093,0.837300,26.549969,0.000000,0.593126,0.808100,0.000000,69.17
25,0.558449,0.814800,25.944340,0.000000,0.654621,0.786400,0.000000,69.15
30,0.414619,0.862500,24.749287,0.000000,0.496893,0.832000,0.000000,69.11
35,0.416001,0.855700,24.464978,0.000000,0.498606,0.829000,0.000000,69.17
40,0.424340,0.859900,24.581895,0.000000,0.499455,0.835400,0.000000,69.15
45,0.421655,0.854000,27.476219,0.000000,0.504885,0.827900,0.000000,69.11
50,0.437422,0.850200,30.750195,0.000000,0.533406,0.820000,0.000000,69.13
55,0.428133,0.858900,29.502255,0.000000,0.505009,0.835800,0.000000,69.14
60,0.411983,0.863500,24.096324,0.000000,0.494562,0.832100,0.000000,69.12
65,0.415757,0.857700,27.077311,0.000000,0.500938,0.828900,0.000000,69.13
70,0.418101,0.856700,32.784489,0.000000,0.501168,0.828600,0.000000,69.13
75,0.380047,0.870900,29.731708,0.000000,0.460859,0.844900,0.000000,69.11
80,0.473484,0.842300,33.948002,0.000000,0.559283,0.817400,0.000000,69.12
85,0.357790,0.880700,26.011099,0.000000,0.431588,0.855700,0.000000,69.12
90,0.463458,0.847400,29.695717,0.000000,0.570353,0.816400,0.000000,69.12
95,0.396954,0.865300,30.345643,0.000000,0.485577,0.836900,0.000000,69.08
100,0.398423,0.861800,30.928210,0.000000,0.480938,0.836900,0.000000,69.13
105,0.213753,0.932200,29.375077,0.000000,0.269691,0.916400,0.000000,69.13
110,0.234164,0.932900,25.738109,0.000000,0.299813,0.915400,0.000000,69.16
115,0.257204,0.930500,24.105160,0.000000,0.333801,0.912700,0.000000,69.13
120,0.275877,0.927900,24.529539,0.000000,0.353590,0.909900,0.000000,69.14
125,0.274840,0.928400,24.891785,0.000000,0.349084,0.909500,0.000000,69.11
130,0.282647,0.925600,22.911948,0.000000,0.361784,0.907600,0.000000,69.16
135,0.294905,0.922000,23.028071,0.000000,0.379031,0.904500,0.000000,69.12
140,0.284311,0.921700,21.821570,0.000000,0.360571,0.902900,0.000000,69.12
145,0.287864,0.924900,21.669473,0.000000,0.372687,0.906400,0.000000,69.09
150,0.313284,0.913600,23.128100,0.000000,0.401489,0.890500,0.000000,69.17
155,0.246088,0.935700,21.696254,0.000000,0.320520,0.920600,0.000000,69.12
160,0.244295,0.937400,21.584768,0.000000,0.319309,0.922300,0.000000,69.13
165,0.248849,0.937500,20.692836,0.000000,0.326494,0.920500,0.000000,69.12
170,0.248066,0.939500,20.736858,0.000000,0.324868,0.923100,0.000000,69.16
175,0.247913,0.938800,20.633181,0.000000,0.324637,0.923700,0.000000,69.12
180,0.249068,0.938600,20.599880,0.000000,0.327016,0.923600,0.000000,69.08
185,0.246615,0.939100,20.116130,0.000000,0.325212,0.923500,0.000000,69.04
190,0.243357,0.939600,19.510518,0.000000,0.320417,0.924300,0.000000,69.06
195,0.245750,0.940800,19.288838,0.000000,0.322990,0.925100,0.000000,69.07
200,0.247218,0.940300,19.156843,0.000000,0.325294,0.923300,0.000000,69.09
