epoch,clean_loss,clean_acc,pixel_robust_loss,pixel_robust_acc,low_frequency_robust_loss,low_frequency_robust_acc,union_robust_acc,eval_time_sec
5,1.261767,0.564500,1.706215,0.353900,1.344430,0.520500,0.353400,69.86
10,1.056388,0.643100,1.626263,0.388400,1.157874,0.598600,0.388100,69.39
15,0.980615,0.680700,1.528362,0.414900,1.076221,0.633000,0.414700,69.35
20,0.921378,0.722500,1.518675,0.425800,1.018040,0.670000,0.425800,69.35
25,0.893659,0.715700,1.481609,0.434000,0.990706,0.664900,0.434000,69.36
30,0.854237,0.740300,1.491591,0.432500,0.959354,0.680400,0.432500,69.36
35,0.866748,0.742500,1.530697,0.417100,0.972336,0.682500,0.416900,69.34
40,0.834976,0.753300,1.465059,0.435400,0.932826,0.703600,0.435300,69.35
45,0.849326,0.718500,1.481251,0.440800,0.950688,0.671000,0.440800,69.34
50,0.830674,0.739100,1.491643,0.433600,0.932396,0.684100,0.433100,69.34
55,0.811687,0.742600,1.455104,0.452300,0.914549,0.688400,0.452200,69.33
60,0.850394,0.732900,1.470288,0.441400,0.947851,0.683900,0.441400,69.32
65,0.881937,0.702200,1.511360,0.433200,0.982037,0.657000,0.433200,69.33
70,0.814350,0.754100,1.456197,0.447200,0.916939,0.695800,0.447200,69.33
75,0.813961,0.752800,1.473165,0.444700,0.917078,0.700700,0.444600,69.32
80,0.826140,0.756400,1.452798,0.450000,0.928423,0.700500,0.450000,69.32
85,0.802363,0.750100,1.466903,0.447800,0.910532,0.692400,0.447800,69.31
90,0.832675,0.748400,1.452705,0.455000,0.937526,0.694600,0.454800,69.31
95,0.805710,0.744600,1.457480,0.452600,0.911593,0.691700,0.452600,69.29
100,0.778829,0.759000,1.423826,0.464700,0.880160,0.709800,0.464500,69.31
105,0.570396,0.826800,1.298983,0.511800,0.679109,0.772900,0.511800,69.31
110,0.545752,0.831300,1.326337,0.510200,0.657848,0.776900,0.510200,69.32
115,0.531401,0.835900,1.414232,0.492000,0.653734,0.779000,0.492000,69.32
120,0.539839,0.828000,1.551373,0.473200,0.679130,0.769000,0.473200,69.32
125,0.513330,0.842000,1.577809,0.470700,0.654258,0.784100,0.470700,69.32
130,0.527688,0.834700,1.615351,0.468900,0.671563,0.776200,0.468800,69.33
135,0.531647,0.832600,1.675740,0.468100,0.680575,0.772200,0.468100,69.31
140,0.524105,0.830700,1.683705,0.472000,0.678128,0.767900,0.472000,69.32
145,0.511762,0.838300,1.733448,0.457700,0.670337,0.773900,0.457700,69.31
150,0.526836,0.829300,1.825492,0.458800,0.699341,0.762100,0.458800,69.32
155,0.468362,0.850100,1.991542,0.467300,0.662439,0.784200,0.467300,69.31
160,0.474334,0.848200,2.186599,0.462300,0.691915,0.779700,0.462300,69.33
165,0.484696,0.846400,2.331630,0.457100,0.717422,0.778700,0.457100,69.32
170,0.490875,0.848700,2.482520,0.447500,0.738543,0.778300,0.447500,69.32
175,0.502578,0.848000,2.639827,0.447000,0.769170,0.772600,0.447000,69.33
180,0.504324,0.849300,2.755009,0.438500,0.782942,0.778100,0.438500,69.33
185,0.521718,0.846900,2.901499,0.436100,0.816988,0.772100,0.436100,69.33
190,0.526346,0.845000,2.932563,0.434700,0.827654,0.770700,0.434700,69.34
195,0.537010,0.845600,3.178228,0.429600,0.863045,0.768400,0.429600,69.33
200,0.551038,0.844800,3.276668,0.428800,0.887945,0.764600,0.428800,69.35
